BID,BID_SIZE,ASK,ASK_SIZE,DAILY_CHANGE,DAILY_CHANGE_PERCENT,LAST_PRICE,VOLUME,HIGH,LOW,TIMESTAMP,TIMESTAMP_CONVERTED
61305,2.84004621,61306,9.00508843,-1384,-0.02207689,61306,1210.34494517,64800,60715,1714483140,2024-04-30 16:49:00
61305,2.84004621,61306,9.00508843,-1384,-0.02207689,61306,1210.34494517,64800,60715,1714483142,2024-04-30 16:49:02
61305,2.84004621,61306,9.00508843,-1384,-0.02207689,61306,1210.34494517,64800,60715,1714483144,2024-04-30 16:49:04
61305,2.84004621,61306,9.00508843,-1384,-0.02207689,61306,1210.34494517,64800,60715,1714483147,2024-04-30 16:49:07
61305,2.84004621,61306,9.00508843,-1384,-0.02207689,61306,1210.34494517,64800,60715,1714483149,2024-04-30 16:49:09
61305,2.84004621,61306,9.00508843,-1384,-0.02207689,61306,1210.34494517,64800,60715,1714483151,2024-04-30 16:49:11
61305,2.84004621,61306,9.00508843,-1384,-0.02207689,61306,1210.34494517,64800,60715,1714483153,2024-04-30 16:49:13
61305,2.84004621,61306,9.00508843,-1384,-0.02207689,61306,1210.34494517,64800,60715,1714483155,2024-04-30 16:49:15
61305,2.84004621,61306,9.00508843,-1384,-0.02207689,61306,1210.34494517,64800,60715,1714483157,2024-04-30 16:49:17
61305,2.84004621,61306,9.00508843,-1384,-0.02207689,61306,1210.34494517,64800,60715,1714483160,2024-04-30 16:49:20
61305,2.84004621,61306,9.00508843,-1384,-0.02207689,61306,1210.34494517,64800,60715,1714483162,2024-04-30 16:49:22
61311,5.04166026,61312,5.36203984,-1384,-0.02207689,61306,1210.62524327,64800,60715,1714483165,2024-04-30 16:49:25
61311,5.04166026,61312,5.36203984,-1384,-0.02207689,61306,1210.62524327,64800,60715,1714483167,2024-04-30 16:49:27
61311,5.04166026,61312,5.36203984,-1384,-0.02207689,61306,1210.62524327,64800,60715,1714483169,2024-04-30 16:49:29
61311,5.04166026,61312,5.36203984,-1384,-0.02207689,61306,1210.62524327,64800,60715,1714483171,2024-04-30 16:49:31
61311,5.04166026,61312,5.36203984,-1384,-0.02207689,61306,1210.62524327,64800,60715,1714483173,2024-04-30 16:49:33
61326,6.97031431,61327,6.8679043,-1369,-0.02183761,61321,1210.69857779,64800,60715,1714483175,2024-04-30 16:49:35
61326,6.97031431,61327,6.8679043,-1369,-0.02183761,61321,1210.69857779,64800,60715,1714483177,2024-04-30 16:49:37
61326,6.97031431,61327,6.8679043,-1369,-0.02183761,61321,1210.69857779,64800,60715,1714483179,2024-04-30 16:49:39
61326,6.97031431,61327,6.8679043,-1369,-0.02183761,61321,1210.69857779,64800,60715,1714483181,2024-04-30 16:49:41
61326,6.97031431,61327,6.8679043,-1369,-0.02183761,61321,1210.69857779,64800,60715,1714483183,2024-04-30 16:49:43
61326,6.97031431,61327,6.8679043,-1369,-0.02183761,61321,1210.69857779,64800,60715,1714483185,2024-04-30 16:49:45
61326,6.97031431,61327,6.8679043,-1369,-0.02183761,61321,1210.69857779,64800,60715,1714483188,2024-04-30 16:49:48
